Index,Words,CH,Part,Correct,Error,Box
1,accent,腔調,n,0,0,0
2,ache,疼痛,n,0,0,0
3,acquaintance,認識的人,n,0,0,0
4,adventure,歷險、冒險,n,0,0,0
5,affection,喜愛、鍾愛,n,0,0,0
6,alcohol,酒精,n,0,0,0
7,allowance,津貼,n,0,0,0
8,amusement,娛樂,n,0,0,0
9,ancestor,祖先,n,0,0,0
10,anniversary,周年紀念,n,0,0,0
11,announcer,廣播人員,n,0,0,0
12,appetite,食慾、胃口,n,0,0,0
13,applause,掌聲,n,0,0,0
14,appliance,器具、設備,n,0,0,0
15,appreciation,感激、欣賞,n,0,0,0
16,apron,圍裙,n,0,0,0
17,argument,爭執、辯論,n,0,0,0
18,arrival,到達,n,0,0,0
19,athlete,運動員,n,0,0,0
20,atmosphere,大氣層、大氣,n,0,0,0
21,attraction,吸引力,n,0,0,0
22,author,作者,n,0,0,0
23,autobiography,自傳,n,0,0,0
24,ballet,芭蕾,n,0,0,0
25,beauty,美麗,n,0,0,0
26,bedtime,就寢時間,n,0,0,0
27,belly,腹部,n,0,0,0
28,bin,箱子,n,0,0,0
29,blossom,花朵,n,0,0,0
30,bookstore,書店,n,0,0,0
31,bravery,勇敢,n,0,0,0
32,breath,呼吸、氣息,n,0,0,0
33,breeze,微風,n,0,0,0
34,bush,灌木叢,n,0,0,0
35,cart,推車,n,0,0,0
36,ceremony,典禮,n,0,0,0
37,cheek,臉頰,n,0,0,0
第二次,0,0,0,0,0,0
38,chill,寒意,n,0,0,0
39,chorus,合唱,n,0,0,0
40,circus,馬戲團,n,0,0,0
41,climax,高潮,n,0,0,0
42,clinic,診所,n,0,0,0
43,comedy,喜劇,n,0,0,0
44,community,社區,n,0,0,0
45,companion,夥伴,n,0,0,0
46,concert,音樂會,n,0,0,0
47,contest,競賽,n,0,0,0
48,costume,服裝,n,0,0,0
49,cradle,搖籃,n,0,0,0
50,cupboard,櫥櫃,n,0,0,0
51,detective,偵探,n,0,0,0
52,dialogue,對話,n,0,0,0
53,dirt,髒污,n,0,0,0
54,divorce,離婚,n,0,0,0
55,dust,灰塵,n,0,0,0
56,echo,回音,n,0,0,0
57,elbow,手肘,n,0,0,0
58,elevator,電梯,n,0,0,0
59,emperor,皇帝,n,0,0,0
60,enjoyment,樂趣,n,0,0,0
61,entertainment,娛樂、消遣活動,n,0,0,0
62,eyebrow,眉毛,n,0,0,0
63,eyesight,視力,n,0,0,0
64,fable,寓言故事,n,0,0,0
65,fantasy,幻想,n,0,0,0
66,farewell,惜別、告辭,n,0,0,0
67,fashion,流行、時髦,n,0,0,0
68,feather,羽毛,n,0,0,0
69,flame,火焰,n,0,0,0
70,flavor,口味,n,0,0,0
71,fountain,噴泉、泉源,n,0,0,0
72,fragrance,香氣,n,0,0,0
73,frame,框、結構,n,0,0,0
74,freeway,高速公路,n,0,0,0
第三次,0,0,0,0,0,0
75,frost,霜,n,0,0,0
76,funeral,喪禮,n,0,0,0
77,gallery,畫廊,n,0,0,0
78,grave,墳墓,n,0,0,0
79,grief,悲傷,n,0,0,0
80,hay,乾草,n,0,0,0
81,heartbreak,心碎、傷心,n,0,0,0
82,heaven,天堂,n,0,0,0
83,heel,腳跟,n,0,0,0
84,herd,獸群,n,0,0,0
85,heroine,女英雄,n,0,0,0
86,homeland,祖國,n,0,0,0
87,honeymoon,蜜月,n,0,0,0
88,horror,恐懼、震驚,n,0,0,0
89,housework,家事,n,0,0,0
90,infant,嬰兒,n,0,0,0
91,ivory,象牙,n,0,0,0
92,jail,監獄,n,0,0,0
93,jelly,果醬、果凍,n,0,0,0
94,jewel,寶石,n,0,0,0
95,journal,期刊、雜誌,n,0,0,0
96,journey,旅程,n,0,0,0
97,jungle,叢林,n,0,0,0
98,junk,廢棄的舊物,n,0,0,0
99,knot,繩結,n,0,0,0
100,ladder,梯子,n,0,0,0
101,landscape,風景,n,0,0,0
102,lantern,燈籠,n,0,0,0
103,laughter,笑聲,n,0,0,0
104,laundry,洗衣店,n,0,0,0
105,lavatory,盥洗室,n,0,0,0
106,lawn,草地,n,0,0,0
107,leather,皮革,n,0,0,0
108,lens,鏡片,n,0,0,0
109,leopard,豹,n,0,0,0
110,liberty,自由,n,0,0,0
111,lullaby,搖籃曲,n,0,0,0
112,maid,女僕,n,0,0,0
113,marathon,馬拉松,n,0,0,0
114,mate,伴侶,n,0,0,0
115,meantime,期間,n,0,0,0
116,melody,旋律,n,0,0,0
117,mercy,慈悲、仁慈,n,0,0,0
118,mill,磨坊、磨粉機,n,0,0,0
119,misfortune,不幸,n,0,0,0
120,mist,薄霧,n,0,0,0
121,monument,紀念碑,n,0,0,0
122,mood,心情,n,0,0,0
123,muscle,肌肉,n,0,0,0
124,neighborhood,鄰近地區、街訪鄰居,n,0,0,0
125,nickname,綽號,n,0,0,0
126,nightmare,惡夢,n,0,0,0
127,opera,歌劇,n,0,0,0
128,orchestra,管弦樂隊,n,0,0,0
129,palace,宮殿,n,0,0,0
130,palm,手掌,n,0,0,0
131,parachute,降落傘,n,0,0,0
132,parade,遊行,n,0,0,0
133,paradise,天堂,n,0,0,0
134,patience,耐心,n,0,0,0
135,payment,支付、付款,n,0,0,0
136,pearl,珍珠,n,0,0,0
137,perfume,香水,n,0,0,0
138,pirate,海盜,n,0,0,0
139,pity,可惜、同情,n,0,0,0
140,plastic,塑膠,n,0,0,0
141,poetry,詩、詩歌,n,0,0,0
142,portion,部分,n,0,0,0
143,portrait,肖像,n,0,0,0
144,pregnancy,懷孕,n,0,0,0
145,pronunciation,發音,n,0,0,0
146,proverb,諺語,n,0,0,0
147,punch,一拳,n,0,0,0
148,puppet,木偶,n,0,0,0
149,recipe,食譜,n,0,0,0
150,recreation,娛樂、消遣,n,0,0,0
151,relationship,關係,n,0,0,0
第四次,0,0,0,0,0,0
152,religion,宗教,n,0,0,0
153,revenge,復仇,n,0,0,0
154,rhythm,節奏,n,0,0,0
155,ribbon,緞帶,n,0,0,0
156,riddle,謎,n,0,0,0
157,romance,戀愛、羅曼史,n,0,0,0
158,route,路線,n,0,0,0
159,sailing,航行、帆船運動,n,0,0,0
160,sake,目的、緣故,n,0,0,0
161,scenery,風景,n,0,0,0
162,scissors,剪刀,n,0,0,0
163,scout,偵查,n,0,0,0
164,sculpture,雕塑、雕刻,n,0,0,0
165,seaside,海邊,n,0,0,0
166,shade,陰涼處,n,0,0,0
167,shadow,影子,n,0,0,0
168,shepherd,牧羊人,n,0,0,0
169,shortcut,捷徑,n,0,0,0
170,shuttle,接駁車,n,0,0,0
171,sightseeing,觀光,n,0,0,0
172,slope,斜坡,n,0,0,0
173,smog,霧霾,n,0,0,0
174,sorrow,悲傷,n,0,0,0
175,souvenir,紀念品,n,0,0,0
176,spell,咒語,n,0,0,0
177,spice,香料,n,0,0,0
178,sportsmanship,運動家精神,n,0,0,0
179,spray,噴霧,n,0,0,0
180,stadium,體育場,n,0,0,0
181,stitch,一針,n,0,0,0
182,stocking,長統襪,n,0,0,0
183,string,線、細線,n,0,0,0
184,stroke,中風,n,0,0,0
185,stuff,物品、事情的總稱,n,0,0,0
186,sunlight,陽光,n,0,0,0
187,sunrise,拂曉,n,0,0,0
188,surfing,衝浪運動,n,0,0,0
189,sweat,汗水,n,0,0,0
190,terminal,航站、終端,n,0,0,0
191,terror,恐懼,n,0,0,0
第五次,0,0,0,0,0,0
192,theft,竊盜,n,0,0,0
193,thirst,口渴,n,0,0,0
194,tide,潮汐、潮水,n,0,0,0
195,timber,木柴,n,0,0,0
196,tissue,組織,n,0,0,0
197,tornado,龍捲風,n,0,0,0
198,trail,足跡,n,0,0,0
199,tray,托盤,n,0,0,0
200,tribe,部落、家族,n,0,0,0
201,troop,部隊,n,0,0,0
202,tutor,家教老師,n,0,0,0
203,vapor,蒸氣,n,0,0,0
204,vigor,活力,n,0,0,0
205,virtue,美德,n,0,0,0
206,wagon,四輪馬車,n,0,0,0
207,waltz,華爾滋,n,0,0,0
208,warmth,溫暖,n,0,0,0
209,whip,鞭子,n,0,0,0
210,wool,羊毛,n,0,0,0
211,wrinkle,皺紋,n,0,0,0
212,youngster,年輕人,n,0,0,0
213,alluminum,鋁,n,0,0,0
214,aspirin,阿斯匹靈,n,0,0,0
215,bureau,(政府機構)局、司、署、處,n,0,0,0
216,capitalism,資本主義,n,0,0,0
217,congress,(正式)會議、代表大會,n,0,0,0
218,constitution,憲法,n,0,0,0
219,council,委員會、議會,n,0,0,0
220,democrat,民主主義者,n,0,0,0
221,dynasty,朝代,n,0,0,0
222,economics,經濟學,n,0,0,0
223,germ,微生物,n,0,0,0
224,governor,州長,n,0,0,0
225,hydrogen,氫,n,0,0,0
226,inflation,通貨膨脹,n,0,0,0
227,institute,學會、協會,n,0,0,0
228,league,同盟,n,0,0,0
229,ministry,(常大寫)(政府)部,n,0,0,0
230,oxygen,氧氣,n,0,0,0
231,philosopher,哲學家,n,0,0,0
232,physicist,物理學家,n,0,0,0
233,politician,政治家,n,0,0,0
234,psychologist,心理學家,n,0,0,0
235,republican,共和主義者,n,0,0,0
236,union,聯盟、公會,n,0,0,0
第六次,0,0,0,0,0,0
237,absence,缺席,n,0,0,0
238,abuse,濫用,n,0,0,0
239,access,管道,n,0,0,0
240,accountant,會計師,n,0,0,0
241,achievement,成就,n,0,0,0
242,administration,行政、管理,n,0,0,0
243,admission,許可,n,0,0,0
244,adviser,顧問,n,0,0,0
245,agency,代辦處、代理機構,n,0,0,0
246,ambition,企圖心,n,0,0,0
247,apology,道歉,n,0,0,0
248,applicant,申請者,n,0,0,0
249,appointment,約定,n,0,0,0
250,arrangement,安排,n,0,0,0
251,assembly,集會、裝配,n,0,0,0
252,assistance,協助,n,0,0,0
253,association,關係、協會,n,0,0,0
254,attitude,態度,n,0,0,0
255,baggage,行李,n,0,0,0
256,bargain,交易、特價品,n,0,0,0
257,battle,戰役,n,0,0,0
258,behavior,行為,n,0,0,0
259,blessing,保佑、恩賜,n,0,0,0
260,brand,品牌、商標,n,0,0,0
261,budget,預算,n,0,0,0
262,bulletin,公告、簡報,n,0,0,0
263,campaign,運動、活動,n,0,0,0
264,catalog,目錄,n,0,0,0
265,certificate,證書,n,0,0,0
266,chain,連鎖、一連串,n,0,0,0
267,charm,魅力,n,0,0,0
268,check,檢查、核對,n,0,0,0
269,chore,雜物,n,0,0,0
270,cigarette,香菸,n,0,0,0
271,client,委託人、客戶,n,0,0,0
272,clip,修剪、夾子、剪報,n,0,0,0
273,coincidence,巧合,n,0,0,0
274,comfort,安逸、舒適,n,0,0,0
第七次,0,0,0,0,0,0
275,commerce,貿易、商業,n,0,0,0
276,commission,佣金、委員會,n,0,0,0
277,commitment,奉獻、承諾,n,0,0,0
278,committee,委員會、委員,n,0,0,0
279,communication,溝通、聯繫,n,0,0,0
280,complaint,抱怨,n,0,0,0
281,compliment,讚美,n,0,0,0
282,conference,會議,n,0,0,0
283,confidence,信心,n,0,0,0
284,confrontation,爭論、對抗,n,0,0,0
285,confusion,困惑、騷動,n,0,0,0
286,conjunction,連接詞、連結,n,0,0,0
287,consideration,考慮,n,0,0,0
288,construction,建設、結構,n,0,0,0
289,consumer,消費者,n,0,0,0
290,context,前後文,n,0,0,0
291,convention,傳統、大會,n,0,0,0
292,corporation,大公司,n,0,0,0
293,counter,櫃台,n,0,0,0
294,courtesy,禮貌,n,0,0,0
295,craft,手藝、手工藝,n,0,0,0
296,crew,全體機組人員,n,0,0,0
297,critic,評論家,n,0,0,0
298,deadline,截止時間,n,0,0,0
299,decoration,裝飾,n,0,0,0
300,deed,行為,n,0,0,0
301,defeat,挫敗,n,0,0,0
302,defense,保護、防衛,n,0,0,0
303,definition,定義,n,0,0,0
